"# Channel 3"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +2.46023369089E-008, +0.00000000000E+000
+2.17481250000E+006, +2.06377499060E-008, +0.00000000000E+000
+4.04962500000E+006, +1.66510057517E-008, +0.00000000000E+000
+5.92443750000E+006, +1.38644411756E-008, +0.00000000000E+000
+7.79925000000E+006, +1.22297207570E-008, +0.00000000000E+000
+9.67406250000E+006, +1.12173329328E-008, +0.00000000000E+000
+1.15488750000E+007, +1.05833035339E-008, +0.00000000000E+000
+1.34236875000E+007, +1.00231642502E-008, +0.00000000000E+000
+1.52985000000E+007, +9.63217725403E-009, +0.00000000000E+000
+1.71733125000E+007, +9.31175493971E-009, +0.00000000000E+000
+1.90481250000E+007, +9.06655349755E-009, +0.00000000000E+000
+2.09229375000E+007, +8.83063769830E-009, +0.00000000000E+000
+2.27977500000E+007, +8.65743214240E-009, +0.00000000000E+000
+2.46725625000E+007, +7.93796047234E-009, +0.00000000000E+000
+2.65473750000E+007, +7.21146252073E-009, +0.00000000000E+000
+2.84221875000E+007, +6.97092573354E-009, +0.00000000000E+000
+3.02970000000E+007, +6.84287539110E-009, +0.00000000000E+000
+3.21718125000E+007, +6.64156080711E-009, +0.00000000000E+000
+3.40466250000E+007, +6.61808468890E-009, +0.00000000000E+000
+3.59214375000E+007, +6.58414965125E-009, +0.00000000000E+000
+3.77962500000E+007, +6.54557034110E-009, +0.00000000000E+000
+3.96710625000E+007, +6.58545320289E-009, +0.00000000000E+000
+4.15458750000E+007, +6.56152364452E-009, +0.00000000000E+000
+4.34206875000E+007, +6.57228237228E-009, +0.00000000000E+000
+4.52955000000E+007, +6.51512427909E-009, +0.00000000000E+000
+4.71703125000E+007, +6.51035067660E-009, +0.00000000000E+000
+4.90451250000E+007, +6.48188888064E-009, +0.00000000000E+000
+5.09199375000E+007, +6.52140453245E-009, +0.00000000000E+000
+5.27947500000E+007, +6.43968007547E-009, +0.00000000000E+000
+5.46695625000E+007, +6.48247112787E-009, +0.00000000000E+000
+5.65443750000E+007, +6.44777218633E-009, +0.00000000000E+000
+5.84191875000E+007, +6.47322619741E-009, +0.00000000000E+000
+6.02940000000E+007, +6.44138620084E-009, +0.00000000000E+000
+6.21688125000E+007, +6.42310349853E-009, +0.00000000000E+000
+6.40436250000E+007, +6.42613908073E-009, +0.00000000000E+000
+6.59184375000E+007, +6.41651753319E-009, +0.00000000000E+000
+6.77932500000E+007, +6.37671570690E-009, +0.00000000000E+000
+6.96680625000E+007, +6.38333496017E-009, +0.00000000000E+000
+7.15428750000E+007, +6.38504970404E-009, +0.00000000000E+000
+7.34176875000E+007, +6.36658962133E-009, +0.00000000000E+000
+7.52925000000E+007, +6.36916623802E-009, +0.00000000000E+000
+7.71673125000E+007, +6.35599899516E-009, +0.00000000000E+000
+7.90421250000E+007, +6.33551695940E-009, +0.00000000000E+000
+8.09169375000E+007, +6.33551336913E-009, +0.00000000000E+000
+8.27917500000E+007, +6.34217566246E-009, +0.00000000000E+000
+8.46665625000E+007, +6.32468364710E-009, +0.00000000000E+000
+8.65413750000E+007, +6.31108061987E-009, +0.00000000000E+000
+8.84161875000E+007, +6.27736858005E-009, +0.00000000000E+000
+9.02910000000E+007, +6.28283885082E-009, +0.00000000000E+000
+9.21658125000E+007, +6.26748778976E-009, +0.00000000000E+000
+9.40406250000E+007, +6.26634082979E-009, +0.00000000000E+000
+9.59154375000E+007, +6.26072951254E-009, +0.00000000000E+000
+9.77902500000E+007, +6.23507773515E-009, +0.00000000000E+000
+9.96650625000E+007, +6.23782637996E-009, +0.00000000000E+000
+1.01539875000E+008, +6.22407473690E-009, +0.00000000000E+000
