"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +2.39677769982E+000, +0.00000000000E+000
+2.17481250000E+006, +2.25491380054E+000, +0.00000000000E+000
+4.04962500000E+006, +2.21857097944E+000, +0.00000000000E+000
+5.92443750000E+006, +2.20068373742E+000, +0.00000000000E+000
+7.79925000000E+006, +2.18539605981E+000, +0.00000000000E+000
+9.67406250000E+006, +2.17090252253E+000, +0.00000000000E+000
+1.15488750000E+007, +2.15939282715E+000, +0.00000000000E+000
+1.34236875000E+007, +2.14514854173E+000, +0.00000000000E+000
+1.52985000000E+007, +2.12999192492E+000, +0.00000000000E+000
+1.71733125000E+007, +2.11464715838E+000, +0.00000000000E+000
+1.90481250000E+007, +2.09780353007E+000, +0.00000000000E+000
+2.09229375000E+007, +2.08117194052E+000, +0.00000000000E+000
+2.27977500000E+007, +2.06403149510E+000, +0.00000000000E+000
+2.46725625000E+007, +2.04175490178E+000, +0.00000000000E+000
+2.65473750000E+007, +2.02548269861E+000, +0.00000000000E+000
+2.84221875000E+007, +2.01091491677E+000, +0.00000000000E+000
+3.02970000000E+007, +1.99475694375E+000, +0.00000000000E+000
+3.21718125000E+007, +1.97793263154E+000, +0.00000000000E+000
+3.40466250000E+007, +1.95901639637E+000, +0.00000000000E+000
+3.59214375000E+007, +1.94134075969E+000, +0.00000000000E+000
+3.77962500000E+007, +1.92192835368E+000, +0.00000000000E+000
+3.96710625000E+007, +1.90421261359E+000, +0.00000000000E+000
+4.15458750000E+007, +1.88339513378E+000, +0.00000000000E+000
+4.34206875000E+007, +1.86412439328E+000, +0.00000000000E+000
+4.52955000000E+007, +1.84227663848E+000, +0.00000000000E+000
+4.71703125000E+007, +1.82172667585E+000, +0.00000000000E+000
+4.90451250000E+007, +1.79884759560E+000, +0.00000000000E+000
+5.09199375000E+007, +1.77690765732E+000, +0.00000000000E+000
+5.27947500000E+007, +1.75315106217E+000, +0.00000000000E+000
+5.46695625000E+007, +1.73137223862E+000, +0.00000000000E+000
+5.65443750000E+007, +1.70748830442E+000, +0.00000000000E+000
+5.84191875000E+007, +1.68429211286E+000, +0.00000000000E+000
+6.02940000000E+007, +1.65861102234E+000, +0.00000000000E+000
+6.21688125000E+007, +1.63496932627E+000, +0.00000000000E+000
+6.40436250000E+007, +1.60803388577E+000, +0.00000000000E+000
+6.59184375000E+007, +1.58324689961E+000, +0.00000000000E+000
+6.77932500000E+007, +1.55654234201E+000, +0.00000000000E+000
+6.96680625000E+007, +1.53088659529E+000, +0.00000000000E+000
+7.15428750000E+007, +1.50422519194E+000, +0.00000000000E+000
+7.34176875000E+007, +1.47845915004E+000, +0.00000000000E+000
+7.52925000000E+007, +1.45030355584E+000, +0.00000000000E+000
+7.71673125000E+007, +1.42334729182E+000, +0.00000000000E+000
+7.90421250000E+007, +1.39591452592E+000, +0.00000000000E+000
+8.09169375000E+007, +1.37084535543E+000, +0.00000000000E+000
+8.27917500000E+007, +1.34526213151E+000, +0.00000000000E+000
+8.46665625000E+007, +1.31956801275E+000, +0.00000000000E+000
+8.65413750000E+007, +1.29502807041E+000, +0.00000000000E+000
+8.84161875000E+007, +1.27126376831E+000, +0.00000000000E+000
+9.02910000000E+007, +1.24777192516E+000, +0.00000000000E+000
+9.21658125000E+007, +1.22610736584E+000, +0.00000000000E+000
+9.40406250000E+007, +1.20413142546E+000, +0.00000000000E+000
+9.59154375000E+007, +1.18543200323E+000, +0.00000000000E+000
+9.77902500000E+007, +1.16549408818E+000, +0.00000000000E+000
+9.96650625000E+007, +1.14697935491E+000, +0.00000000000E+000
+1.01539875000E+008, +1.12947925246E+000, +0.00000000000E+000
+1.03414687500E+008, +1.11256222023E+000, +0.00000000000E+000
+1.05289500000E+008, +1.09746857939E+000, +0.00000000000E+000
+1.07164312500E+008, +1.08318282208E+000, +0.00000000000E+000
+1.09039125000E+008, +1.06960602427E+000, +0.00000000000E+000
+1.10913937500E+008, +1.05784471491E+000, +0.00000000000E+000
+1.12788750000E+008, +1.04422201971E+000, +0.00000000000E+000
+1.14663562500E+008, +1.03203171985E+000, +0.00000000000E+000
+1.16538375000E+008, +1.02022031592E+000, +0.00000000000E+000
+1.18413187500E+008, +1.00906947414E+000, +0.00000000000E+000
+1.20288000000E+008, +9.98147205922E-001, +0.00000000000E+000
+1.22162812500E+008, +9.90896996740E-001, +0.00000000000E+000
+1.24037625000E+008, +9.83321026714E-001, +0.00000000000E+000
+1.25912437500E+008, +9.76221872123E-001, +0.00000000000E+000
+1.27787250000E+008, +9.69037591720E-001, +0.00000000000E+000
+1.29662062500E+008, +9.61531350057E-001, +0.00000000000E+000
+1.31536875000E+008, +9.55068706037E-001, +0.00000000000E+000
+1.33411687500E+008, +9.45697626179E-001, +0.00000000000E+000
+1.35286500000E+008, +9.39011426841E-001, +0.00000000000E+000
+1.37161312500E+008, +9.31070790744E-001, +0.00000000000E+000
+1.39036125000E+008, +9.22796050358E-001, +0.00000000000E+000
+1.40910937500E+008, +9.14400458821E-001, +0.00000000000E+000
+1.42785750000E+008, +9.04987755348E-001, +0.00000000000E+000
+1.44660562500E+008, +8.96646504012E-001, +0.00000000000E+000
+1.46535375000E+008, +8.88402293611E-001, +0.00000000000E+000
+1.48410187500E+008, +8.78778059430E-001, +0.00000000000E+000
+1.50285000000E+008, +8.70032027492E-001, +0.00000000000E+000
+1.52159812500E+008, +8.60585376041E-001, +0.00000000000E+000
+1.54034625000E+008, +8.52276481077E-001, +0.00000000000E+000
+1.55909437500E+008, +8.42621714111E-001, +0.00000000000E+000
+1.57784250000E+008, +8.34805515832E-001, +0.00000000000E+000
+1.59659062500E+008, +8.28434250326E-001, +0.00000000000E+000
+1.61533875000E+008, +8.22496932632E-001, +0.00000000000E+000
+1.63408687500E+008, +8.16654206651E-001, +0.00000000000E+000
+1.65283500000E+008, +8.11535309711E-001, +0.00000000000E+000
+1.67158312500E+008, +8.06444865765E-001, +0.00000000000E+000
+1.69033125000E+008, +7.99027279834E-001, +0.00000000000E+000
+1.70907937500E+008, +7.91376215967E-001, +0.00000000000E+000
+1.72782750000E+008, +7.82661062159E-001, +0.00000000000E+000
+1.74657562500E+008, +7.72753984154E-001, +0.00000000000E+000
+1.76532375000E+008, +7.65056164433E-001, +0.00000000000E+000
+1.78407187500E+008, +7.57482290004E-001, +0.00000000000E+000
+1.80282000000E+008, +7.51270298581E-001, +0.00000000000E+000
+1.82156812500E+008, +7.44258422073E-001, +0.00000000000E+000
+1.84031625000E+008, +7.38097502890E-001, +0.00000000000E+000
+1.85906437500E+008, +7.30842122116E-001, +0.00000000000E+000
+1.87781250000E+008, +7.23658069674E-001, +0.00000000000E+000
+1.89656062500E+008, +7.16406897805E-001, +0.00000000000E+000
+1.91530875000E+008, +7.10561465375E-001, +0.00000000000E+000
+1.93405687500E+008, +7.03517688312E-001, +0.00000000000E+000
+1.95280500000E+008, +6.97094294399E-001, +0.00000000000E+000
+1.97155312500E+008, +6.89997987288E-001, +0.00000000000E+000
+1.99030125000E+008, +6.82211405880E-001, +0.00000000000E+000
+2.00904937500E+008, +6.76396688232E-001, +0.00000000000E+000
+2.02779750000E+008, +6.69541890806E-001, +0.00000000000E+000
+2.04654562500E+008, +6.62880153218E-001, +0.00000000000E+000
+2.06529375000E+008, +6.54026216621E-001, +0.00000000000E+000
+2.08404187500E+008, +6.46715183615E-001, +0.00000000000E+000
+2.10279000000E+008, +6.38933644866E-001, +0.00000000000E+000
+2.12153812500E+008, +6.31111764921E-001, +0.00000000000E+000
+2.14028625000E+008, +6.22752798835E-001, +0.00000000000E+000
+2.15903437500E+008, +6.16409978376E-001, +0.00000000000E+000
+2.17778250000E+008, +6.12730946459E-001, +0.00000000000E+000
+2.19653062500E+008, +6.08677795133E-001, +0.00000000000E+000
+2.21527875000E+008, +6.05455011325E-001, +0.00000000000E+000
+2.23402687500E+008, +6.02186617357E-001, +0.00000000000E+000
+2.25277500000E+008, +5.98935278649E-001, +0.00000000000E+000
+2.27152312500E+008, +5.94958431117E-001, +0.00000000000E+000
+2.29027125000E+008, +5.90161661428E-001, +0.00000000000E+000
+2.30901937500E+008, +5.85761991816E-001, +0.00000000000E+000
+2.32776750000E+008, +5.81447196455E-001, +0.00000000000E+000
+2.34651562500E+008, +5.77742619252E-001, +0.00000000000E+000
+2.36526375000E+008, +5.75195133130E-001, +0.00000000000E+000
+2.38401187500E+008, +5.70293198602E-001, +0.00000000000E+000
+2.40276000000E+008, +5.67089109339E-001, +0.00000000000E+000
+2.42150812500E+008, +5.64967711898E-001, +0.00000000000E+000
+2.44025625000E+008, +5.62324111853E-001, +0.00000000000E+000
+2.45900437500E+008, +5.61794013967E-001, +0.00000000000E+000
+2.47775250000E+008, +5.58722064027E-001, +0.00000000000E+000
+2.49650062500E+008, +5.57887198273E-001, +0.00000000000E+000
+2.51524875000E+008, +5.56132581663E-001, +0.00000000000E+000
+2.53399687500E+008, +5.56495364935E-001, +0.00000000000E+000
+2.55274500000E+008, +5.56172685903E-001, +0.00000000000E+000
+2.57149312500E+008, +5.54790330031E-001, +0.00000000000E+000
+2.59024125000E+008, +5.53932937287E-001, +0.00000000000E+000
+2.60898937500E+008, +5.55185166001E-001, +0.00000000000E+000
+2.62773750000E+008, +5.54653697888E-001, +0.00000000000E+000
+2.64648562500E+008, +5.52784884869E-001, +0.00000000000E+000
+2.66523375000E+008, +5.53156503725E-001, +0.00000000000E+000
+2.68398187500E+008, +5.52741787283E-001, +0.00000000000E+000
+2.70273000000E+008, +5.51458547694E-001, +0.00000000000E+000
+2.72147812500E+008, +5.50265030182E-001, +0.00000000000E+000
+2.74022625000E+008, +5.50398424349E-001, +0.00000000000E+000
+2.75897437500E+008, +5.50692348854E-001, +0.00000000000E+000
+2.77772250000E+008, +5.53045637371E-001, +0.00000000000E+000
+2.79647062500E+008, +5.53506840251E-001, +0.00000000000E+000
+2.81521875000E+008, +5.56880251381E-001, +0.00000000000E+000
+2.83396687500E+008, +5.58751379651E-001, +0.00000000000E+000
+2.85271500000E+008, +5.63054997666E-001, +0.00000000000E+000
+2.87146312500E+008, +5.64974785225E-001, +0.00000000000E+000
+2.89021125000E+008, +5.67702444379E-001, +0.00000000000E+000
+2.90895937500E+008, +5.69566039064E-001, +0.00000000000E+000
+2.92770750000E+008, +5.72676263100E-001, +0.00000000000E+000
+2.94645562500E+008, +5.75184711100E-001, +0.00000000000E+000
+2.96520375000E+008, +5.79304519527E-001, +0.00000000000E+000
+2.98395187500E+008, +5.82121178775E-001, +0.00000000000E+000
+3.00270000000E+008, +5.84638338722E-001, +0.00000000000E+000
+3.02144812500E+008, +5.87294064927E-001, +0.00000000000E+000
+3.04019625000E+008, +5.91529804129E-001, +0.00000000000E+000
+3.05894437500E+008, +5.95714861663E-001, +0.00000000000E+000
+3.07769250000E+008, +6.00255227568E-001, +0.00000000000E+000
+3.09644062500E+008, +6.05089055932E-001, +0.00000000000E+000
+3.11518875000E+008, +6.10620914725E-001, +0.00000000000E+000
+3.13393687500E+008, +6.14638177983E-001, +0.00000000000E+000
+3.15268500000E+008, +6.21169986677E-001, +0.00000000000E+000
+3.17143312500E+008, +6.27538888423E-001, +0.00000000000E+000
+3.19018125000E+008, +6.34064393480E-001, +0.00000000000E+000
+3.20892937500E+008, +6.39308884083E-001, +0.00000000000E+000
+3.22767750000E+008, +6.47418281335E-001, +0.00000000000E+000
+3.24642562500E+008, +6.52677602854E-001, +0.00000000000E+000
+3.26517375000E+008, +6.60802813039E-001, +0.00000000000E+000
+3.28392187500E+008, +6.66869987648E-001, +0.00000000000E+000
+3.30267000000E+008, +6.74412527149E-001, +0.00000000000E+000
+3.32141812500E+008, +6.79978847174E-001, +0.00000000000E+000
+3.34016625000E+008, +6.89118415448E-001, +0.00000000000E+000
+3.35891437500E+008, +6.95729721703E-001, +0.00000000000E+000
+3.37766250000E+008, +7.06827525224E-001, +0.00000000000E+000
+3.39641062500E+008, +7.13614064754E-001, +0.00000000000E+000
+3.41515875000E+008, +7.23549580067E-001, +0.00000000000E+000
+3.43390687500E+008, +7.31663418722E-001, +0.00000000000E+000
+3.45265500000E+008, +7.41631357956E-001, +0.00000000000E+000
+3.47140312500E+008, +7.50781103240E-001, +0.00000000000E+000
+3.49015125000E+008, +7.60987364420E-001, +0.00000000000E+000
+3.50889937500E+008, +7.71059524474E-001, +0.00000000000E+000
+3.52764750000E+008, +7.82958437019E-001, +0.00000000000E+000
+3.54639562500E+008, +7.93146809895E-001, +0.00000000000E+000
+3.56514375000E+008, +8.03805730030E-001, +0.00000000000E+000
+3.58389187500E+008, +8.15174383569E-001, +0.00000000000E+000
+3.60264000000E+008, +8.26837395401E-001, +0.00000000000E+000
+3.62138812500E+008, +8.36800559537E-001, +0.00000000000E+000
+3.64013625000E+008, +8.46732071761E-001, +0.00000000000E+000
+3.65888437500E+008, +8.57819267525E-001, +0.00000000000E+000
+3.67763250000E+008, +8.70657264369E-001, +0.00000000000E+000
+3.69638062500E+008, +8.81105408135E-001, +0.00000000000E+000
+3.71512875000E+008, +8.92903280700E-001, +0.00000000000E+000
+3.73387687500E+008, +9.05423674503E-001, +0.00000000000E+000
+3.75262500000E+008, +9.17671110999E-001, +0.00000000000E+000
+3.77137312500E+008, +9.29204787605E-001, +0.00000000000E+000
+3.79012125000E+008, +9.42405199716E-001, +0.00000000000E+000
+3.80886937500E+008, +9.54421985033E-001, +0.00000000000E+000
+3.82761750000E+008, +9.67880295091E-001, +0.00000000000E+000
+3.84636562500E+008, +9.80311116349E-001, +0.00000000000E+000
+3.86511375000E+008, +9.94726737247E-001, +0.00000000000E+000
+3.88386187500E+008, +1.00780695075E+000, +0.00000000000E+000
